Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_000732035.1	PSV1.0	Pseudomonas savastanoi pv. savastanoi		DAPP-PG722					PRJNA251981	SAMN02843422
GCF_000732035.1	PSV1.0	Pseudomonas savastanoi pv. savastanoi		DAPP-PG722					PRJNA251981	SAMN02843422
GCA_003699215.1	ASM369921v1	Pseudomonas savastanoi pv. savastanoi		ICMP 1411					PRJNA292453	SAMN03976480
GCF_003699215.1	ASM369921v1	Pseudomonas savastanoi pv. savastanoi		ICMP 1411					PRJNA292453	SAMN03976480
GCA_000187065.2	ASM18706v2	Pseudomonas savastanoi pv. glycinea str. race 4		race 4					PRJNA51519	SAMN02471825
GCF_000187065.1	ASM18706v2	Pseudomonas savastanoi pv. glycinea str. race 4		race 4					PRJNA51519	SAMN02471825
GCA_001294265.1	Pseudomonas syringae pv. glycinea BR1	Pseudomonas savastanoi pv. glycinea		BR1					PRJNA284853	SAMN03837779
GCF_001294265.1	Pseudomonas syringae pv. glycinea BR1	Pseudomonas savastanoi pv. glycinea		BR1					PRJNA284853	SAMN03837779
GCA_003699605.1	ASM369960v1	Pseudomonas savastanoi pv. glycinea		ICMP 4324					PRJNA292453	SAMN03976498
GCF_003699605.1	ASM369960v1	Pseudomonas savastanoi pv. glycinea		ICMP 4324					PRJNA292453	SAMN03976498
GCA_001294275.1	PgyUnB647	Pseudomonas savastanoi pv. glycinea		UnB647					PRJNA285232	SAMN03837734
GCF_001294275.1	PgyUnB647	Pseudomonas savastanoi pv. glycinea		UnB647					PRJNA285232	SAMN03837734
GCA_001294195.1	PgyKN44	Pseudomonas savastanoi pv. glycinea		KN44					PRJNA284855	SAMN03737225
GCF_001294195.1	PgyKN44	Pseudomonas savastanoi pv. glycinea		KN44					PRJNA284855	SAMN03737225
GCA_003701515.1	ASM370151v1	Pseudomonas savastanoi pv. glycinea		ICMP 9923					PRJNA292453	SAMN03976401
GCF_003701515.1	ASM370151v1	Pseudomonas savastanoi pv. glycinea		ICMP 9923					PRJNA292453	SAMN03976401
GCA_003699565.1	ASM369956v1	Pseudomonas savastanoi pv. glycinea		ICMP 4332					PRJNA292453	SAMN03976499
GCF_003699565.1	ASM369956v1	Pseudomonas savastanoi pv. glycinea		ICMP 4332					PRJNA292453	SAMN03976499
GCA_003701095.1	ASM370109v1	Pseudomonas savastanoi pv. glycinea		ICMP 4182					PRJNA292453	SAMN03976436
GCF_003701095.1	ASM370109v1	Pseudomonas savastanoi pv. glycinea		ICMP 4182					PRJNA292453	SAMN03976436
GCA_003701155.1	ASM370115v1	Pseudomonas savastanoi pv. glycinea		ICMP 2185					PRJNA292453	SAMN03976426
GCF_003701155.1	ASM370115v1	Pseudomonas savastanoi pv. glycinea		ICMP 2185					PRJNA292453	SAMN03976426
GCA_001293765.1	PgyLN10	Pseudomonas savastanoi pv. glycinea		LN10					PRJNA285209	SAMN03837733
GCF_001293765.1	PgyLN10	Pseudomonas savastanoi pv. glycinea		LN10					PRJNA285209	SAMN03837733
GCA_003700005.1	ASM370000v1	Pseudomonas savastanoi pv. glycinea		ICMP 6372					PRJNA292453	SAMN03976467
GCF_003700005.1	ASM370000v1	Pseudomonas savastanoi pv. glycinea		ICMP 6372					PRJNA292453	SAMN03976467
GCA_003701035.1	ASM370103v1	Pseudomonas savastanoi pv. glycinea		ICMP 5559					PRJNA292453	SAMN03976437
GCF_003701035.1	ASM370103v1	Pseudomonas savastanoi pv. glycinea		ICMP 5559					PRJNA292453	SAMN03976437
GCA_001400375.1	PgyICMP2189	Pseudomonas savastanoi pv. glycinea		ICMP 2189					PRJNA292453	SAMN03976247
GCF_001400375.1	PgyICMP2189	Pseudomonas savastanoi pv. glycinea		ICMP 2189					PRJNA292453	SAMN03976247
