BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJEB34261,cluster127,cluster314,cluster168,cluster331,cluster116,cluster127,1
PRJEB34261,cluster127,cluster314,cluster168,cluster340,cluster116,cluster127,1
PRJEB34261,cluster128,cluster139,cluster330,cluster316,cluster308,cluster221,1
PRJEB34261,cluster186,cluster328,cluster359,cluster280,cluster337,cluster246,1
PRJEB34261,cluster205,cluster299,cluster329,cluster315,cluster307,cluster77,1
PRJEB34261,cluster206,cluster300,cluster331,cluster317,cluster309,cluster222,1
PRJEB34261,cluster207,cluster301,cluster332,cluster318,cluster310,cluster223,1
PRJEB34261,cluster207,cluster306,cluster332,cluster318,cluster310,cluster227,1
PRJEB34261,cluster208,cluster302,cluster333,cluster319,cluster311,cluster224,1
PRJEB34261,cluster208,cluster302,cluster336,cluster319,cluster315,cluster224,1
PRJEB34261,cluster209,cluster304,cluster335,cluster321,cluster313,cluster226,1
PRJEB34261,cluster209,cluster318,cluster335,cluster336,cluster328,cluster226,1
PRJEB34261,cluster209,cluster318,cluster335,cluster348,cluster328,cluster226,1
PRJEB34261,cluster210,cluster305,cluster330,cluster322,cluster314,cluster10,2
PRJEB34261,cluster211,cluster301,cluster332,cluster357,cluster310,cluster46,1
PRJEB34261,cluster211,cluster307,cluster337,cluster318,cluster316,cluster174,1
PRJEB34261,cluster212,cluster308,cluster338,cluster323,cluster317,cluster228,1
PRJEB34261,cluster213,cluster309,cluster339,cluster324,cluster318,cluster70,1
PRJEB34261,cluster213,cluster309,cluster348,cluster334,cluster326,cluster70,1
PRJEB34261,cluster214,cluster310,cluster341,cluster326,cluster320,cluster231,1
PRJEB34261,cluster214,cluster325,cluster356,cluster344,cluster320,cluster244,1
PRJEB34261,cluster215,cluster311,cluster342,cluster327,cluster321,cluster232,1
PRJEB34261,cluster216,cluster312,cluster343,cluster328,cluster322,cluster233,1
PRJEB34261,cluster217,cluster303,cluster344,cluster329,cluster189,cluster225,1
PRJEB34261,cluster218,cluster315,cluster346,cluster332,cluster324,cluster234,1
PRJEB34261,cluster219,cluster316,cluster347,cluster333,cluster325,cluster235,1
PRJEB34261,cluster220,cluster317,cluster349,cluster335,cluster327,cluster236,1
PRJEB34261,cluster221,cluster319,cluster350,cluster337,cluster329,cluster237,1
PRJEB34261,cluster222,cluster320,cluster352,cluster338,cluster330,cluster239,1
PRJEB34261,cluster223,cluster321,cluster353,cluster339,cluster331,cluster240,1
PRJEB34261,cluster223,cluster326,cluster357,cluster345,cluster335,cluster240,1
PRJEB34261,cluster224,cluster182,cluster175,cluster30,cluster30,cluster28,1
PRJEB34261,cluster225,cluster322,cluster354,cluster341,cluster332,cluster241,1
PRJEB34261,cluster226,cluster323,cluster355,cluster342,cluster333,cluster242,1
PRJEB34261,cluster227,cluster324,cluster59,cluster343,cluster334,cluster243,1
PRJEB34261,cluster227,cluster333,cluster363,cluster352,cluster334,cluster243,1
PRJEB34261,cluster227,cluster337,cluster367,cluster343,cluster334,cluster243,1
PRJEB34261,cluster228,cluster327,cluster358,cluster346,cluster336,cluster245,1
PRJEB34261,cluster229,cluster330,cluster360,cluster349,cluster339,cluster248,1
PRJEB34261,cluster229,cluster332,cluster362,cluster351,cluster336,cluster248,1
PRJEB34261,cluster230,cluster331,cluster257,cluster350,cluster240,cluster178,1
PRJEB34261,cluster231,cluster336,cluster365,cluster355,cluster340,cluster249,1
PRJEB34261,cluster232,cluster338,cluster368,cluster358,cluster341,cluster250,1
PRJEB34261,cluster232,cluster338,cluster378,cluster358,cluster341,cluster250,1
PRJEB34261,cluster233,cluster339,cluster369,cluster359,cluster342,cluster251,1
PRJEB34261,cluster234,cluster316,cluster347,cluster333,cluster325,cluster235,1
PRJEB34261,cluster235,cluster340,cluster370,cluster360,cluster41,cluster77,1
PRJEB34261,cluster236,cluster139,cluster372,cluster362,cluster343,cluster10,1
PRJEB34261,cluster237,cluster342,cluster373,cluster363,cluster344,cluster252,1
PRJEB34261,cluster238,cluster345,cluster329,cluster366,cluster347,cluster14,1
PRJEB34261,cluster26,cluster344,cluster52,cluster365,cluster346,cluster254,1
PRJEB34261,cluster4,cluster329,cluster4,cluster4,cluster338,cluster247,1
PRJEB34261,cluster43,cluster47,cluster351,cluster50,cluster50,cluster238,1
PRJEB34261,cluster46,cluster298,cluster328,cluster314,cluster306,cluster65,1
PRJEB34261,cluster46,cluster298,cluster361,cluster314,cluster306,cluster65,1
PRJEB34261,cluster46,cluster298,cluster73,cluster314,cluster306,cluster229,1
PRJEB34261,cluster46,cluster298,cluster73,cluster347,cluster306,cluster65,1
PRJEB34261,cluster46,cluster313,cluster345,cluster330,cluster323,cluster213,1
PRJEB34261,cluster46,cluster335,cluster364,cluster354,cluster323,cluster213,1
PRJEB34261,cluster46,cluster341,cluster371,cluster361,cluster289,cluster213,1
PRJEB34261,cluster46,cluster343,cluster374,cluster364,cluster345,cluster253,1
PRJEB34261,cluster46,cluster348,cluster345,cluster369,cluster323,cluster213,1
PRJEB34261,cluster46,cluster70,cluster366,cluster356,cluster74,cluster65,1
PRJEB34261,cluster5,cluster87,cluster93,cluster5,cluster200,cluster156,1
PRJEB34261,cluster71,cluster334,cluster158,cluster353,cluster84,cluster249,1
PRJEB34663,cluster239,cluster346,cluster375,cluster367,cluster348,cluster255,1
PRJEB35640,cluster244,cluster353,cluster383,cluster374,cluster350,cluster260,1
PRJEB38236,cluster20,cluster20,cluster68,cluster47,cluster47,cluster61,1
PRJEB38476,cluster240,cluster347,cluster376,cluster368,cluster349,cluster256,1
PRJEB42773,cluster30,cluster349,cluster33,cluster33,cluster67,cluster31,1
PRJEB42773,cluster71,cluster25,cluster379,cluster370,cluster42,cluster84,1
PRJEB45234,cluster63,cluster133,cluster377,cluster133,cluster75,cluster66,1
PRJEB47281,cluster245,cluster354,cluster384,cluster375,cluster353,cluster11,1
PRJEB49198,cluster241,cluster350,cluster380,cluster371,cluster350,cluster257,1
PRJEB49198,cluster242,cluster351,cluster381,cluster372,cluster351,cluster258,3
PRJEB49198,cluster243,cluster352,cluster382,cluster373,cluster352,cluster259,2
PRJEB57340,cluster144,cluster358,cluster393,cluster200,cluster358,cluster264,1
PRJEB57340,cluster247,cluster356,cluster387,cluster376,cluster356,cluster40,1
PRJEB57340,cluster248,cluster357,cluster389,cluster377,cluster357,cluster262,1
PRJEB57340,cluster248,cluster357,cluster390,cluster377,cluster357,cluster262,1
PRJEB57340,cluster248,cluster357,cluster392,cluster378,cluster357,cluster263,1
PRJEB57340,cluster249,cluster28,cluster391,cluster30,cluster30,cluster28,1
PRJEB57340,cluster250,cluster360,cluster395,cluster380,cluster360,cluster265,1
PRJEB57340,cluster27,cluster28,cluster175,cluster30,cluster30,cluster28,1
PRJEB57340,cluster27,cluster28,cluster386,cluster30,cluster355,cluster28,3
PRJEB57340,cluster27,cluster28,cluster388,cluster30,cluster30,cluster28,1
PRJEB57340,cluster31,cluster359,cluster394,cluster379,cluster359,none,1
PRJEB57340,cluster98,cluster355,cluster385,cluster157,cluster125,cluster261,2
PRJEB60605,cluster246,cluster24,cluster159,cluster79,cluster354,cluster34,1
PRJEB6356,cluster32,cluster35,cluster40,cluster44,cluster44,cluster33,1
PRJEB6403,cluster203,cluster296,none,cluster312,cluster304,cluster219,1
PRJEB6403,cluster204,cluster297,cluster327,cluster313,cluster305,cluster220,1
PRJEB6403,cluster28,cluster29,cluster31,cluster31,cluster31,cluster29,1
PRJEB6403,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJEB6403,cluster60,cluster52,cluster69,cluster69,cluster70,cluster62,1
PRJEB6403,cluster63,cluster133,cluster326,cluster73,cluster302,cluster66,1
PRJEB6403,cluster87,cluster105,none,cluster107,cluster110,cluster94,1
PRJEB65351,cluster32,cluster252,cluster40,cluster184,cluster258,cluster33,1
PRJEB73309,cluster22,cluster8,cluster397,cluster382,cluster362,cluster23,1
PRJEB73309,cluster32,cluster361,cluster396,cluster381,cluster361,cluster266,1
PRJEB73309,cluster32,cluster362,cluster247,cluster257,cluster37,cluster33,1
PRJEB7699,cluster38,cluster42,cluster45,cluster45,cluster45,cluster40,1
PRJNA1003870,cluster189,cluster268,cluster186,cluster286,cluster271,cluster203,2
PRJNA1003870,cluster190,cluster269,cluster294,cluster169,cluster272,cluster129,2
PRJNA1003870,cluster32,cluster35,cluster208,cluster37,cluster37,cluster33,2
PRJNA1014612,cluster95,cluster263,cluster289,cluster117,cluster121,cluster101,1
PRJNA1020068,cluster191,cluster271,cluster297,cluster288,cluster274,cluster206,1
PRJNA1020068,cluster195,cluster276,cluster306,cluster292,cluster281,cluster210,1
PRJNA1024655,cluster92,cluster283,cluster312,cluster299,cluster287,cluster212,1
PRJNA1041598,cluster109,cluster200,cluster212,cluster205,cluster191,cluster152,1
PRJNA1044431,cluster98,cluster272,cluster298,cluster289,cluster125,cluster104,1
PRJNA1047486,cluster43,cluster47,cluster241,cluster234,cluster50,cluster46,1
PRJNA1048667,cluster188,cluster267,cluster293,cluster285,cluster270,cluster202,1
PRJNA1062555,cluster123,cluster20,cluster21,cluster21,cluster224,cluster204,1
PRJNA1083108,cluster9,cluster277,cluster307,cluster9,cluster282,cluster147,1
PRJNA1085646,cluster46,cluster285,cluster313,cluster301,cluster289,cluster213,1
PRJNA1091830,cluster74,cluster279,cluster309,cluster294,cluster284,cluster80,1
PRJNA1101434,cluster201,cluster293,cluster61,cluster62,cluster62,cluster56,1
PRJNA1110185,cluster197,cluster284,cluster120,cluster300,cluster288,cluster98,1
PRJNA1112751,cluster60,cluster204,cluster63,cluster213,cluster70,cluster62,1
PRJNA1115627,cluster193,cluster286,cluster314,cluster302,cluster290,cluster214,1
PRJNA1117819,cluster100,cluster124,cluster130,cluster122,cluster127,cluster106,1
PRJNA1138762,cluster32,cluster179,cluster315,cluster184,cluster37,cluster215,1
PRJNA1150624,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJNA1151850,cluster23,cluster291,cluster322,cluster309,cluster297,cluster130,1
PRJNA1156916,cluster74,cluster86,cluster92,cluster182,cluster299,cluster80,2
PRJNA1170499,cluster200,cluster292,cluster323,cluster310,cluster298,cluster217,1
PRJNA12,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA169520,cluster18,cluster18,cluster18,cluster18,cluster18,cluster18,1
PRJNA172562,cluster15,cluster15,cluster15,cluster15,cluster15,cluster15,1
PRJNA174875,cluster17,cluster17,cluster17,cluster17,cluster17,cluster17,1
PRJNA182080,cluster19,cluster19,cluster20,cluster20,cluster20,cluster19,1
PRJNA182465,cluster21,cluster21,cluster22,cluster22,cluster22,cluster21,1
PRJNA186492,cluster18,cluster18,cluster19,cluster19,cluster19,cluster18,1
PRJNA186799,cluster22,cluster22,cluster24,cluster24,cluster24,cluster23,1
PRJNA186800,cluster23,cluster23,cluster25,cluster25,cluster25,cluster24,1
PRJNA186801,cluster5,cluster24,cluster26,cluster26,cluster26,cluster5,1
PRJNA189715,cluster20,cluster20,cluster21,cluster21,cluster21,cluster20,1
PRJNA196427,cluster25,cluster26,cluster28,cluster28,cluster28,cluster26,1
PRJNA198067,cluster22,cluster8,cluster23,cluster23,cluster23,cluster22,1
PRJNA20583,cluster16,cluster16,cluster16,cluster16,cluster16,cluster16,1
PRJNA210952,cluster30,cluster31,cluster33,cluster33,cluster33,cluster31,1
PRJNA217803,cluster24,cluster25,cluster27,cluster27,cluster27,cluster25,1
PRJNA227201,cluster26,cluster27,cluster29,cluster29,cluster29,cluster27,1
PRJNA231221,cluster5,cluster24,cluster93,cluster5,cluster204,cluster5,1
PRJNA231563,cluster20,cluster20,cluster21,cluster57,cluster57,cluster20,1
PRJNA236579,cluster31,cluster32,cluster34,cluster34,cluster34,cluster32,1
PRJNA238413,cluster27,cluster28,cluster30,cluster30,cluster30,cluster28,1
PRJNA243959,cluster94,cluster116,cluster122,cluster116,cluster120,cluster100,1
PRJNA244621,cluster63,cluster71,cluster74,cluster73,cluster75,cluster66,1
PRJNA254192,cluster28,cluster29,cluster31,cluster31,cluster31,cluster29,1
PRJNA255825,cluster29,cluster30,cluster32,cluster32,cluster32,cluster30,1
PRJNA262724,cluster5,cluster78,cluster81,cluster5,cluster82,cluster5,1
PRJNA262727,cluster5,cluster79,cluster82,cluster80,cluster81,cluster72,1
PRJNA262731,cluster69,cluster77,cluster80,cluster79,cluster81,cluster5,1
PRJNA262837,cluster32,cluster33,cluster35,cluster35,cluster35,cluster33,1
PRJNA262933,cluster5,cluster34,cluster36,cluster36,cluster36,cluster5,1
PRJNA262940,cluster5,cluster34,cluster36,cluster36,cluster36,cluster5,1
PRJNA262949,cluster32,cluster35,cluster37,cluster37,cluster37,cluster33,1
PRJNA262950,cluster32,cluster35,cluster40,cluster37,cluster37,cluster33,1
PRJNA262951,cluster5,cluster36,cluster38,cluster38,cluster38,cluster34,1
PRJNA262952,cluster33,cluster37,cluster39,cluster39,cluster39,cluster35,1
PRJNA264019,cluster34,cluster38,cluster41,cluster40,cluster40,cluster36,1
PRJNA264019,cluster35,cluster39,cluster42,cluster41,cluster41,cluster37,1
PRJNA264639,cluster36,cluster40,cluster43,cluster42,cluster42,cluster38,1
PRJNA264639,cluster37,cluster41,cluster44,cluster43,cluster43,cluster39,1
PRJNA270653,cluster39,cluster43,cluster46,cluster46,cluster46,cluster41,1
PRJNA271841,cluster40,cluster45,cluster48,cluster48,cluster48,cluster43,1
PRJNA271924,cluster41,cluster6,cluster6,cluster6,cluster6,cluster44,1
PRJNA272785,cluster20,cluster44,cluster47,cluster47,cluster47,cluster42,1
PRJNA273571,cluster57,cluster81,cluster86,cluster84,cluster85,cluster74,1
PRJNA274345,cluster18,cluster67,cluster70,cluster18,cluster71,cluster18,1
PRJNA274345,cluster20,cluster20,cluster68,cluster47,cluster47,cluster61,1
PRJNA274345,cluster59,cluster66,cluster67,cluster68,cluster69,cluster60,1
PRJNA274345,cluster60,cluster52,cluster69,cluster69,cluster70,cluster62,1
PRJNA274345,cluster61,cluster68,cluster71,cluster70,cluster72,cluster63,1
PRJNA274345,cluster62,cluster69,cluster72,cluster71,cluster73,cluster64,1
PRJNA275699,cluster42,cluster46,cluster49,cluster49,cluster49,cluster45,1
PRJNA276800,cluster44,cluster48,cluster51,cluster51,cluster51,cluster47,1
PRJNA276802,cluster45,cluster49,cluster52,cluster52,cluster52,cluster48,1
PRJNA276804,cluster46,cluster50,cluster53,cluster53,cluster53,cluster49,1
PRJNA276807,cluster43,cluster47,cluster50,cluster50,cluster50,cluster46,1
PRJNA276809,cluster43,cluster47,cluster50,cluster50,cluster50,cluster46,1
PRJNA276971,cluster47,cluster51,cluster54,cluster54,cluster54,cluster50,1
PRJNA277915,cluster48,cluster52,cluster55,cluster55,cluster55,cluster51,1
PRJNA277995,cluster49,cluster53,cluster56,cluster56,cluster56,cluster52,1
PRJNA283456,cluster50,cluster54,cluster57,cluster58,cluster58,cluster53,1
PRJNA283459,cluster51,cluster55,cluster58,cluster59,cluster59,cluster54,1
PRJNA283460,cluster52,cluster56,cluster59,cluster60,cluster60,cluster40,1
PRJNA284214,cluster53,cluster57,cluster60,cluster61,cluster61,cluster55,1
PRJNA290284,cluster25,cluster65,cluster28,cluster63,cluster28,cluster26,1
PRJNA290284,cluster30,cluster31,cluster33,cluster67,cluster33,cluster31,1
PRJNA290284,cluster30,cluster63,cluster33,cluster33,cluster67,cluster31,3
PRJNA290284,cluster55,cluster26,cluster62,cluster63,cluster28,cluster26,1
PRJNA290284,cluster55,cluster64,cluster28,cluster63,cluster68,cluster26,1
PRJNA290438,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJNA290438,cluster55,cluster26,cluster62,cluster63,cluster28,cluster26,1
PRJNA290679,cluster48,cluster59,cluster63,cluster64,cluster63,cluster51,1
PRJNA291433,cluster157,cluster213,cluster231,cluster228,cluster216,cluster165,1
PRJNA291433,cluster158,cluster214,cluster232,cluster229,cluster217,cluster166,1
PRJNA291433,cluster159,cluster215,cluster233,cluster230,cluster218,cluster167,1
PRJNA291470,cluster84,cluster103,cluster111,cluster104,cluster56,cluster91,1
PRJNA292453,cluster107,cluster74,cluster142,cluster134,cluster135,cluster69,1
PRJNA292453,cluster108,cluster87,cluster93,cluster135,cluster82,cluster5,1
PRJNA292453,cluster109,cluster134,cluster143,cluster136,cluster136,cluster112,1
PRJNA292453,cluster43,cluster83,cluster141,cluster50,cluster50,cluster76,2
PRJNA292453,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJNA292453,cluster55,cluster26,cluster62,cluster63,cluster28,cluster26,1
PRJNA294689,cluster58,cluster62,cluster66,cluster66,cluster66,cluster59,1
PRJNA295937,cluster46,cluster70,cluster73,cluster72,cluster74,cluster65,1
PRJNA295937,cluster56,cluster60,cluster64,cluster2,cluster64,cluster57,1
PRJNA295937,cluster57,cluster61,cluster65,cluster65,cluster65,cluster58,1
PRJNA296725,cluster64,cluster72,cluster75,cluster74,cluster76,cluster67,1
PRJNA296726,cluster66,cluster74,cluster77,cluster76,cluster78,cluster69,1
PRJNA296727,cluster67,cluster75,cluster78,cluster77,cluster79,cluster70,1
PRJNA296741,cluster65,cluster73,cluster76,cluster75,cluster77,cluster68,1
PRJNA296744,cluster43,cluster83,cluster88,cluster50,cluster50,cluster76,1
PRJNA301338,cluster68,cluster76,cluster79,cluster78,cluster80,cluster71,1
PRJNA303516,cluster95,cluster117,cluster123,cluster117,cluster121,cluster101,1
PRJNA303528,cluster9,cluster9,cluster9,cluster9,cluster9,cluster92,1
PRJNA309490,cluster25,cluster65,cluster28,cluster63,cluster28,cluster26,1
PRJNA312098,cluster48,cluster52,cluster84,cluster82,cluster55,cluster51,1
PRJNA312703,cluster71,cluster80,cluster85,cluster83,cluster84,cluster73,1
PRJNA312730,cluster70,cluster22,cluster83,cluster81,cluster83,cluster23,1
PRJNA315014,cluster72,cluster82,cluster87,cluster85,cluster86,cluster75,1
PRJNA315402,cluster73,cluster84,cluster89,cluster86,cluster87,cluster77,1
PRJNA32035,cluster10,cluster10,cluster10,cluster10,cluster10,cluster10,1
PRJNA32037,cluster8,cluster8,cluster8,cluster8,cluster8,cluster8,1
PRJNA320923,cluster74,cluster86,cluster92,cluster88,cluster89,cluster80,2
PRJNA322127,cluster14,cluster85,cluster90,cluster87,cluster88,cluster78,1
PRJNA325248,cluster20,cluster20,cluster21,cluster47,cluster47,cluster61,1
PRJNA327387,cluster39,cluster43,cluster91,cluster46,cluster46,cluster79,1
PRJNA328580,cluster69,cluster77,cluster80,cluster79,cluster81,cluster5,1
PRJNA338491,cluster76,cluster89,cluster95,cluster91,cluster92,cluster81,1
PRJNA338492,cluster77,cluster90,cluster96,cluster92,cluster93,cluster82,1
PRJNA338673,cluster18,cluster67,cluster70,cluster18,cluster71,cluster18,1
PRJNA338684,cluster61,cluster68,cluster71,cluster70,cluster72,cluster63,1
PRJNA338696,cluster65,cluster91,cluster97,cluster93,cluster94,cluster83,1
PRJNA339171,cluster5,cluster102,cluster110,cluster79,cluster106,cluster34,1
PRJNA339171,cluster54,cluster58,cluster109,cluster103,cluster105,cluster56,1
PRJNA339171,cluster7,cluster98,cluster105,cluster99,cluster101,cluster87,1
PRJNA339171,cluster81,cluster99,cluster106,cluster100,cluster102,cluster88,3
PRJNA339171,cluster82,cluster100,cluster107,cluster101,cluster103,cluster89,1
PRJNA339171,cluster83,cluster101,cluster108,cluster102,cluster104,cluster90,1
PRJNA341585,cluster89,cluster108,cluster56,cluster104,cluster56,cluster91,1
PRJNA341585,cluster89,cluster109,cluster56,cluster110,cluster56,cluster91,1
PRJNA342848,cluster110,cluster135,cluster144,cluster137,cluster137,cluster113,1
PRJNA342848,cluster111,cluster137,cluster147,cluster139,cluster139,cluster98,1
PRJNA342848,cluster112,cluster138,cluster103,cluster97,cluster99,cluster77,1
PRJNA342848,cluster113,cluster139,cluster148,cluster140,cluster140,cluster114,1
PRJNA342848,cluster114,cluster140,cluster149,cluster141,cluster141,cluster115,1
PRJNA342848,cluster115,cluster141,cluster150,cluster142,cluster142,cluster116,1
PRJNA342848,cluster116,cluster142,cluster151,cluster143,cluster143,cluster77,1
PRJNA342848,cluster117,cluster143,cluster46,cluster144,cluster46,cluster79,1
PRJNA342848,cluster24,cluster136,cluster146,cluster27,cluster27,cluster84,3
PRJNA342848,cluster32,cluster113,cluster145,cluster138,cluster138,cluster33,2
PRJNA343408,cluster5,cluster87,cluster93,cluster89,cluster90,cluster5,1
PRJNA344671,cluster88,cluster106,cluster80,cluster79,cluster111,cluster5,1
PRJNA345201,cluster124,cluster152,cluster160,cluster155,cluster151,cluster121,1
PRJNA345290,cluster75,cluster88,cluster94,cluster90,cluster91,cluster73,1
PRJNA347476,cluster5,cluster93,cluster99,cluster79,cluster95,cluster5,2
PRJNA348753,cluster32,cluster113,cluster119,cluster113,cluster37,cluster33,1
PRJNA350775,cluster23,cluster94,cluster101,cluster95,cluster97,cluster85,1
PRJNA350775,cluster76,cluster89,cluster95,cluster91,cluster92,cluster81,1
PRJNA350775,cluster78,cluster95,cluster102,cluster96,cluster98,cluster86,1
PRJNA353169,cluster98,cluster121,cluster127,cluster120,cluster125,cluster104,1
PRJNA353628,cluster79,cluster96,cluster103,cluster97,cluster99,cluster77,1
PRJNA354433,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJNA355592,cluster24,cluster92,cluster98,cluster94,cluster42,cluster84,1
PRJNA355625,cluster20,cluster20,cluster112,cluster105,cluster107,cluster20,1
PRJNA357271,cluster5,cluster5,cluster100,cluster5,cluster96,cluster5,1
PRJNA357271,cluster5,cluster79,cluster171,cluster79,cluster81,cluster5,1
PRJNA374904,cluster80,cluster97,cluster104,cluster98,cluster100,cluster46,1
PRJNA377387,cluster69,cluster77,cluster80,cluster79,cluster81,cluster5,1
PRJNA379084,cluster9,cluster9,cluster9,cluster9,cluster9,cluster92,1
PRJNA387592,cluster90,cluster111,cluster118,cluster111,cluster115,cluster97,1
PRJNA387592,cluster91,cluster112,cluster32,cluster112,cluster117,cluster30,1
PRJNA387592,none,cluster110,cluster117,cluster32,cluster114,cluster30,1
PRJNA392819,cluster104,cluster129,cluster136,cluster129,cluster131,cluster39,1
PRJNA394120,cluster32,cluster107,cluster115,cluster108,cluster112,cluster95,2
PRJNA396133,cluster5,cluster34,cluster80,cluster36,cluster116,cluster34,1
PRJNA396534,cluster96,cluster118,cluster124,cluster118,cluster122,cluster102,1
PRJNA397091,cluster51,cluster55,cluster116,cluster109,cluster113,cluster96,1
PRJNA397522,cluster51,cluster55,cluster116,cluster109,cluster113,cluster96,1
PRJNA400855,cluster100,cluster124,cluster130,cluster122,cluster127,cluster106,2
PRJNA400855,cluster5,cluster123,cluster129,cluster79,cluster81,cluster5,1
PRJNA400855,cluster99,cluster122,cluster128,cluster121,cluster126,cluster105,1
PRJNA407797,cluster92,cluster114,cluster120,cluster114,cluster118,cluster98,1
PRJNA407797,cluster93,cluster115,cluster121,cluster115,cluster119,cluster99,1
PRJNA41635,cluster11,cluster11,cluster11,cluster11,cluster11,cluster11,1
PRJNA427209,cluster95,cluster117,cluster123,cluster117,cluster121,cluster101,1
PRJNA427257,cluster97,cluster119,cluster125,cluster119,cluster123,cluster103,1
